en,ar,section,type,source,confidence
"**Cerebrovascular adverse events, including stroke**",**أحداث قلبية وعائية سلبية، بما في ذلك السكتة الدماغية**,medical_term,term,warnings,high
**Patients prone to convulsive disorders. Convulsions have been reported at therapeutic doses**,**المرضى المعرضون لاضطرابات اختلاجية. تم الإبلاغ عن اختلاجات في الجرعات العلاجية**,medical_term,sentence,warnings,high
**Selective inhibitor of factor Xa (FXa)**,**مثبط انتقائي لعامل Xa**,medical_term,sentence,updated_mechanism,high
**Does not require a cofactor (such as Anti-thrombin III) for activity**,**لا يتطلب عامل مساعد (مثل مضاد الثرومبين III) للنشاط**,medical_term,sentence,updated_mechanism,high
**Inhibits free FXa and prothrombinase activity**,**يثبط عامل Xa الحر ونشاط البروثرومبيناز**,medical_term,sentence,updated_mechanism,high
**Decreases thrombin generation**,**يقلل من توليد الثرومبين**,medical_term,term,updated_mechanism,high
**No direct effect on platelet aggregation**,**لا تأثير مباشر على تجمع الصفيحات**,medical_term,sentence,updated_mechanism,high
**Indirectly inhibits platelet aggregation induced by thrombin**,**يثبط بشكل غير مباشر تجمع الصفيحات المحفز بالثرومبين**,medical_term,sentence,updated_mechanism,high
**Clopidogrel selectively inhibits the binding of adenosine diphosphate (ADP) to its platelet receptor**,**يثبط كلوبيدوغريل بشكل انتقائي ارتباط ثنائي فوسفات الأدينوزين (ADP) بمستقبلاته على الصفيحات**,medical_term,sentence,updated_mechanism,high
**Inhibition of the cyclooxygenase enzyme**,**تثبيط إنزيم السيكلوأوكسيجيناز**,medical_term,term,updated_mechanism,high
**Decreased formation of thromboxane A2**,**انخفاض تكوين الثرومبوكسان A2**,medical_term,term,updated_mechanism,high
"**Non-steroidal compound with anti-rheumatic, anti-inflammatory, analgesic and antipyretic properties**",**مركب غير ستيرويدي ذو خصائص مضادة للروماتيزم، مضادة للالتهاب، مسكنة وخافضة للحرارة**,medical_term,sentence,updated_mechanism,high
**Inhibition of prostaglandin biosynthesis**,**تثبيط تخليق البروستاغلاندين**,medical_term,term,updated_mechanism,high
**PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets)**,**بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ)**,medical_term,term,leaflet_content_basic,high
**AGILOMOX (Paracetamol 500 mg + Diclofenac Potassium 50 mg) (Tablets)**,**أجيلوموكس (باراسيتامول ٥٠٠ ملغ + ديكلوفيناك بوتاسيوم ٥٠ ملغ) (أقراص)**,medical_term,sentence,leaflet_content_basic,high
"**ARIPIPRAZOLE (10 mg, 15 mg) (Tablets)**",**أريبيبرازول (١٠ ملغ، ١٥ ملغ) (أقراص)**,medical_term,sentence,leaflet_content_basic,high
**Composition & Excipients: Each film-coated tablet contains...**,**التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على...**,medical_term,sentence,leaflet_content_basic,high
"**Chemical composition: Paracetamol 500 mg, Diclofenac Potassium 50 mg**",**التركيب الكيميائي: باراسيتامول ٥٠٠ ملغ، ديكلوفيناك بوتاسيوم ٥٠ ملغ**,medical_term,sentence,leaflet_content_basic,high
**Each tablet contains 10 mg or 15 mg of aripiprazole**,**يحوي كل قرص على ١٠ ملغ أو ١٥ ملغ من أريبيبرازول**,medical_term,sentence,leaflet_content_basic,high
"**Excipients: Microcrystalline cellulose, Maize starch, Lactose monohydrate, Magnesium stearate, Iron oxide red**",**السواغات: السليلوز البلوري المجهري، نشاء الذرة، لاكتوز أحادي الماء، ستيرات المغنيسيوم، أكسيد الحديد الأحمر**,medical_term,sentence,leaflet_content_basic,high
**Aripiprazole exhibits partial agonist activity at D2 and 5-HT1A receptors and antagonist activity at 5-HT2A receptors**,**أريبيبرازول يُظهر نشاطًا محفزًا جزئيًا للمستقبلات D2 و5-HT1A ونشاطًا مضادًا للمستقبلات 5-HT2A**,medical_term,sentence,leaflet_content_basic,high
"**Absorption: Well absorbed after oral administration, with peak plasma concentrations within 3-5 hours**",**الامتصاص: يمتص بشكل جيد بعد التناول عن طريق الفم، مع وصول التركيز الأقصى في البلازما خلال ٣-٥ ساعات**,medical_term,sentence,leaflet_content_basic,high
**Bioavailability: 87%**,**التوافر الحيوي: ٨٧٪**,medical_term,term,leaflet_content_basic,high
**Distribution: >99% bound to serum proteins**,**التوزيع: أكثر من ٩٩٪ مرتبط ببروتينات المصل**,medical_term,sentence,leaflet_content_basic,high
**Metabolism and Elimination: Approximately 25% in urine and 55% in feces**,**الاستقلاب والإطراح: حوالي ٢٥٪ في البول و٥٥٪ في البراز**,medical_term,sentence,leaflet_content_basic,high
**For the treatment of major depressive episodes in adults**,**لعلاج نوبات الاكتئاب الرئيسية عند البالغين**,medical_term,sentence,leaflet_content_basic,high
**For the relief of signs and symptoms of osteoarthritis with gastric protection**,**لتخفيف علامات وأعراض التهاب المفاصل التنكسية مع حماية معدية**,medical_term,sentence,leaflet_content_basic,high
**Treatment of schizophrenia**,**علاج الفصام**,medical_term,term,leaflet_content_basic,high
**Acute treatment of manic and mixed episodes associated with Bipolar I Disorder**,**العلاج الحاد للحالات الهوسية والمختلطة المرتبطة باضطراب ثنائي القطب من النوع الأول**,medical_term,sentence,leaflet_content_basic,high
**Adjunctive treatment of major depressive disorder**,**العلاج المساعد لاضطراب الاكتئاب الرئيسي**,medical_term,sentence,leaflet_content_basic,high
**Irritability associated with autistic disorder**,**التهيج المرتبط باضطراب التوحد**,medical_term,term,leaflet_content_basic,high
**Treatment of Tourette's disorder**,**علاج اضطراب توريت**,medical_term,term,leaflet_content_basic,high
**Analgesics (for pain relief)**,**مسكنات الألم**,medical_term,term,leaflet_content_basic,high
**Anti-inflammatory**,**مضادات الالتهاب**,medical_term,term,leaflet_content_basic,high
**Diuretic**,**مدر للبول**,medical_term,term,leaflet_content_basic,high
**Antioxidant**,**مضاد للأكسدة**,medical_term,term,leaflet_content_basic,high
**Hypersensitivity to the drug or its components**,**فرط الحساسية للمادة الفعالة أو أي من مكونات الدواء**,medical_term,sentence,leaflet_content_basic,high
**Active or history of recurrent peptic ulcer/haemorrhage**,**قرحة هضمية نشطة أو تاريخ من النزف أو الانثقاب المتكرر**,medical_term,sentence,leaflet_content_basic,high
**History of gastrointestinal bleeding or perforation**,**تاريخ من نزف معدي معوي أو انثقاب**,medical_term,sentence,leaflet_content_basic,high
"**Severe heart failure, hepatic failure, and renal failure**",**فشل قلبي حاد، فشل كبدي، وفشل كلوي**,medical_term,sentence,leaflet_content_basic,high
**Children under the age of 14 years**,**الأطفال تحت سن ١٤ عام**,medical_term,sentence,leaflet_content_basic,high
**Nausea and dizziness**,**الغثيان والدوار**,medical_term,term,leaflet_content_basic,high
"**Nausea, vomiting, constipation, headache, dizziness, akathisia, anxiety, insomnia**",**غثيان، قيء، إمساك، صداع، دوخة، أكاثيزيا، قلق، أرق**,medical_term,sentence,leaflet_content_basic,high
"**Feeling of sickness, skin reddening, allergic reactions, shortness of breath, swollen facial features, liver damage**",**شعور بالمرض، احمرار الجلد، ردود فعل تحسسية، ضيق في التنفس، تورم في الوجه، تلف الكبد**,medical_term,sentence,leaflet_content_basic,high
"**Tremor, blurred vision, abdominal discomfort, gastrointestinal disorders**",**رعاش، عدم وضوح الرؤية، عدم راحة في البطن، اضطرابات معدية معوية**,medical_term,sentence,leaflet_content_basic,high
"**Tachycardia, hypertension, hypotension, leukopenia, neutropenia**",**خفقان القلب، ارتفاع ضغط الدم، انخفاض ضغط الدم، نقص الكريات البيضاء، نقص العدلات**,medical_term,term,leaflet_content_basic,high
**Suicidal thoughts and behaviors**,**أفكار انتحارية وسلوكيات**,medical_term,term,leaflet_content_basic,high
"**Dysphagia, esophageal dysmotility, aspiration pneumonia**",**صعوبة البلع، اضطراب حركية المريء، التهاب رئوي استشاقي**,medical_term,term,leaflet_content_basic,high
**Warnings and Precautions**,**تحذيرات واحتياطات**,medical_term,term,leaflet_content_basic,high
**Monitoring of liver function: Cases of liver injury have been reported**,**مراقبة وظائف الكبد: تم الإبلاغ عن حالات إصابة الكبد**,medical_term,sentence,leaflet_content_basic,high
**Avoid concomitant use with other NSAIDs**,**تجنب الاستخدام المتزامن مع مضادات الالتهاب غير الستيرويدية الأخرى**,medical_term,sentence,leaflet_content_basic,high
**Close medical surveillance is imperative in patients with symptoms indicative of gastrointestinal disorders**,**المراقبة الطبية الدقة ضرورية للمرضى الذين تظهر عليهم أعراض اضطرابات معدية معوية**,medical_term,sentence,leaflet_content_basic,high
**The recommended dose is one tablet (25 mg) once daily taken orally at bedtime**,**الجرعة الموصى بها هي قرص واحد (٢٥ ملغ) مرة واحدة يوميًا تؤخذ عن طريق الفم قبل النوم**,medical_term,sentence,leaflet_content_basic,high
**1 tablet 3 times/day**,**قرص واحد ٣ مرات يوميًا**,medical_term,term,leaflet_content_basic,high
**Dosage increases should generally not be made before 2 weeks**,**يجب عدم زيادة الجرعة قبل مرور أسبوعين**,medical_term,sentence,leaflet_content_basic,high
**Maintenance treatment: Periodically reassess to determine the continued need**,**العلاج الصيانى: إعادة تقييم دورية لتحديد الحاجة المستمرة**,medical_term,sentence,leaflet_content_basic,high
**No dosage tapering is needed on treatment discontinuation**,**لا حاجة لتخفيض الجرعة عند التوقف عن العلاج**,medical_term,sentence,leaflet_content_basic,high
**Overdosage / Toxicity**,**فرط الجرعة / السمية**,medical_term,term,leaflet_content_basic,high
**Liver damage is possible in adults who have taken 10g or more of paracetamol**,**تلف الكبد ممكن لدى البالغين الذين تناولوا ١٠ جرام أو أكثر من الباراسيتامول**,medical_term,sentence,leaflet_content_basic,high
"**Symptoms include headache, nausea, vomiting, epigastric pain, gastrointestinal bleeding**",**الأعراض تشمل صداع، غثيان، قيء، ألم شرسوفي، نزف معدي معوي**,medical_term,sentence,leaflet_content_basic,high
"**Management of overdosage: Activated charcoal, cardiac monitoring, supportive therapy**",**إدارة فرط الجرعة: الفحم المنشط، مراقبة القلب، العلاج الداعم**,medical_term,sentence,leaflet_content_basic,high
"**Store at room temperature, between 15-30° C**",**يحفظ في درجة حرارة الغرفة، بين ١٥-٣٠ درجة مئوية**,medical_term,sentence,leaflet_content_basic,high
**Store away from humidity and direct light**,**يحفظ بعيدًا عن الرطوبة والضوء المباشر**,medical_term,sentence,leaflet_content_basic,high
"**2 blisters, each contains 10 tablets/carton box**",**علبتان من البليستر، كل منهما يحتوي على ١٠ أقراص/علبة كرتون**,medical_term,sentence,leaflet_content_basic,high
**Manufactured by: HAMA PHARMA Hama - Syria**,**تصنيع: هاما فارما - حماة - سوريا**,medical_term,sentence,leaflet_content_basic,high
**Naproxen**,**نابروكسين**,medical_term,term,medical_terms_basic,high
**Esomeprazole**,**إيزوميبرازول**,medical_term,term,medical_terms_basic,high
**Hydrochlorthiazide**,**هايدروكلوروثيازيد**,medical_term,term,medical_terms_basic,high
**Maize starch**,**نشاء الذرة**,medical_term,term,medical_terms_basic,high
**Peak plasma concentration**,**التركيز الأقصى في البلازما**,medical_term,term,medical_terms_basic,high
**Anaphylaxis**,**الصدمة التحسسية**,medical_term,term,medical_terms_basic,high
**Akathisia**,**أكاثيزيا (اضطراب حركي)**,medical_term,term,medical_terms_basic,high
**Tachycardia**,**خفقان القلب**,medical_term,term,medical_terms_basic,high
**Hepatic impairment**,**قصور كبدي / اعتلال كبدي**,medical_term,term,medical_terms_basic,high
**Renal impairment**,**اعتلال كلوي**,medical_term,term,medical_terms_basic,high
**Cardiovascular disease**,**أمراض قلبية وعائية**,medical_term,term,medical_terms_basic,high
**Depression / Major Depressive Disorder**,**اكتئاب / اضطراب اكتئابي كبير**,medical_term,term,medical_terms_basic,high
**Suicidal thoughts**,**أفكار انتحارية**,medical_term,term,medical_terms_basic,high
**Suicidality**,**سلوك انتحاري**,medical_term,term,medical_terms_basic,high
**Overdosage**,**فرط الجرعة**,medical_term,term,medical_terms_basic,high
**Antihypertensive Drugs**,**أدوية خافضة لضغط الدم**,medical_term,term,medical_terms_basic,high
**Benzodiazepines**,**بنزوديازيبينات**,medical_term,term,medical_terms_basic,high
**Antibacterial**,**مضاد للبكتيريا**,medical_term,term,medical_terms_basic,high
**Central Acting Analgesic**,**مسكن الألم المركزي**,medical_term,term,medical_terms_basic,high
**Room temperature**,**درجة حرارة الغرفة**,medical_term,term,medical_terms_basic,high
**Do not interrupt the treatment period**,**لا تقاطع فترة العلاج**,medical_term,sentence,medical_terms_basic,high
**The dose should be adjusted to the intensity of the pain and the sensitivity of the individual patient**,**يجب تعديل الجرعة حسب شدة الألم وحساسية المريض الفردية**,medical_term,sentence,dosage,high
**Adults and children over 12 years: 50-100 mg 3-4 times daily**,**البالغون والأطفال فوق ١٢ سنة: ٥٠-١٠٠ ملغ ٣-٤ مرات يوميًا**,medical_term,sentence,dosage,high
**A total daily dose of 400 mg should not be exceeded**,**يجب عدم تجاوز الجرعة اليومية الإجمالية ٤٠٠ ملغ**,medical_term,sentence,dosage,high
"**For patients with creatinine clearance <30 ml/min, the dosage interval should be increased to 12 hours**",**لمرضى تصفية الكرياتينين <٣٠ مل/دقيقة، يجب زيادة فترة الجرعة إلى ١٢ ساعة**,medical_term,sentence,dosage,high
"**In severe hepatic impairment, the product is contraindicated**",**في القصور الكبدي الشديد، المنتج مضاد استطباب**,medical_term,sentence,dosage,high
**Children under 12 years: Not recommended**,**الأطفال تحت ١٢ سنة: غير موصى به**,medical_term,sentence,dosage,high
**Tramadol should not be combined with MAO inhibitors**,**يجب عدم الجمع بين ترامادول ومثبطات مونوأمين أوكسيداز**,medical_term,sentence,interactions,high
**Concomitant administration of Tramadol with other centrally depressant medicinal products including alcohol may potentiate the CNS effects**,**الإعطاء المتزامن لترامادول مع منتجات طبية مثبطة للجهاز العصبي المركزي بما في ذلك الكحول قد يزيد من آثار الجهاز العصبي المركزي**,medical_term,sentence,interactions,high
**Caution should be exercised during concomitant treatment with tramadol and coumarin derivatives (e.g. warfarin)**,**يجب توخي الحذر أثناء العلاج المتزامن بترامادول ومشتقات الكومارين (مثل وارفارين)**,medical_term,sentence,interactions,high
"**Other active substances known to inhibit CYP3A4, such as ketoconazole and erythromycin, might inhibit the metabolism of tramadol**",**المواد الفعالة الأخرى المعروفة بتثبيط CYP3A4، مثل كيتوكونازول وإريثرومايسين، قد تثبط استقلاب ترامادول**,medical_term,sentence,interactions,high
**HAMA PHARMA**,**حماة فارما**,medical_term,term,drug_names,high
**TRAMADOL HAMA PHARMA**,**ترامادول حماة فارما**,medical_term,term,drug_names,high
**AGILOMOX**,**أجيلوموكس**,medical_term,term,drug_names,high
**ARIPIPRAZOLE HAMA PHARMA**,**أريبيبرازول حماة فارما**,medical_term,term,drug_names,high
**NIVOLTIC**,**نيفولتيك**,medical_term,term,drug_names,high
**NODEMENT**,**نوديمينت**,medical_term,term,drug_names,high
**METRONIDAZOLE PLUS HAMA PHARMA**,**مترونيدازول بلس حماة فارما**,medical_term,term,drug_names,high
**CLOZAPINE HAMA PHARMA**,**كلوزابين حماة فارما**,medical_term,term,drug_names,high
**FEM-RELIEVE**,**فيم-ريليف**,medical_term,term,drug_names,high
**KETOTIFEN HAMA PHARMA**,**كيتوتيفين حماة فارما**,medical_term,term,drug_names,high
**ULCER-STOP**,**ألكر-ستوب**,medical_term,term,drug_names,high
**DILTIAZEM HAMA PHARMA**,**ديلتيازيم حماة فارما**,medical_term,term,drug_names,high
**ANTI-TUSSIVE**,**مضاد السعال**,medical_term,term,drug_names,high
**FEDROLIDINE**,**فيدروليدين**,medical_term,term,drug_names,high
**ROVALTRO**,**روفالترو**,medical_term,term,updated_drug_names,high
**TROMBO STOP**,**ترومبو ستوب**,medical_term,term,updated_drug_names,high
**Rivaroxaban**,**ريفاروكسبان**,medical_term,term,updated_active_ingredients,high
**Clopidogrel (as Hydrogen Sulphate)**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين)**,medical_term,term,updated_active_ingredients,high
**Paracetamol**,**باراسيتامول**,medical_term,term,updated_active_ingredients,high
**Linagliptin**,**ليناغليبتين**,medical_term,term,updated_active_ingredients,high
Phenobarbital,فينوباربيتال,medical_term,term,core_medical_vocabulary,high
Calcium stearate,ستيترات الكالسيوم,medical_term,term,core_medical_vocabulary,high
Corn starch,نشاء الذرة,medical_term,term,core_medical_vocabulary,high
Anhydrous lactose,لاكتوز لامائي,medical_term,term,core_medical_vocabulary,high
Magnesium stearate,ستيترات المغنيسيوم,medical_term,term,core_medical_vocabulary,high
Colloidal silicon dioxide,ثاني أوكسيد السيليكون الغرويدي,medical_term,term,core_medical_vocabulary,high
Microcrystalline cellulose,ميكروكريستالين سللوز,medical_term,term,core_medical_vocabulary,high
Sodium starch glycolate,غليكوات النشاء الصودية,medical_term,term,core_medical_vocabulary,high
Sodium docusate,صوديوم دوكوسات,medical_term,term,core_medical_vocabulary,high
Lactose monohydrate,لاكتوز مونوهيدرات,medical_term,term,core_medical_vocabulary,high
Long-acting barbiturate,مركب باربيتوري طويل المفعول,medical_term,term,core_medical_vocabulary,high
Central nervous system depressant,مثبط للجملة العصبية المركزية,medical_term,term,core_medical_vocabulary,high
Sedative,مهدئ,medical_term,term,core_medical_vocabulary,high
Anticonvulsant,مضاد للاختلاج,medical_term,term,core_medical_vocabulary,high
Pharmacokinetics,الحركية الدوائية,medical_term,term,core_medical_vocabulary,high
Onset of action,بداية التأثير,medical_term,term,core_medical_vocabulary,high
Duration of action,مدة التأثير,medical_term,term,core_medical_vocabulary,high
Liver,الكبد,medical_term,term,core_medical_vocabulary,high
Hypersensitive,فرط الحساسية,medical_term,term,core_medical_vocabulary,high
Side effects,التأثيرات الجانبية,medical_term,term,core_medical_vocabulary,high
CNS Depression,تثبيط الجهاز العصبي المركزي,medical_term,term,core_medical_vocabulary,high
Sedation,تهدئة,medical_term,term,core_medical_vocabulary,high
Lethargy,خمول,medical_term,term,core_medical_vocabulary,high
Vertigo,دوار,medical_term,term,core_medical_vocabulary,high
Barbiturate poisoning,التسمم بالباربيتورات,medical_term,term,core_medical_vocabulary,high
Cardiovascular system,الجملة القلبية الوعائية,medical_term,term,core_medical_vocabulary,high
Presentation,التعبئة,medical_term,term,core_medical_vocabulary,high
Blisters,أشرطة بليستر,medical_term,term,core_medical_vocabulary,high
Storage,شروط الحفظ,medical_term,term,core_medical_vocabulary,high
Room temperature,درجة حرارة الغرفة,medical_term,term,core_medical_vocabulary,high
Moisture,الرطوبة,medical_term,term,core_medical_vocabulary,high
**Indications: Treatment of moderate to severe pain**,**استطبابات: علاج الألم المتوسط إلى الشديد**,medical_term,sentence,indications,high
**Indications: Sleep disorders**,**استطبابات: اضطرابات النوم**,medical_term,term,indications,high
**Indications: Central Acting Analgesic**,**استطبابات: مسكن ألم مركزي التأثير**,medical_term,term,indications,high
"**Indications: Anti-bacterial, Gingivitis**",**استطبابات: مضاد بكتيري، التهاب اللثة**,medical_term,term,indications,high
**Contraindications: Hypersensitivity to the active substance or any of the other ingredients**,**مضادات الاستطباب: فرط الحساسية للمادة الفعالة أو أي من المكونات الأخرى**,medical_term,sentence,indications,high
**Contraindications: Acute intoxication with central nervous system depressants**,**مضادات الاستطباب: التسمم الحاد بمثبطات الجهاز العصبي المركزي**,medical_term,sentence,indications,high
"**Contraindications: MAO inhibitors, Severe hepatic/renal/respiratory impairment, Epilepsy**",**مضادات الاستطباب: مثبطات مونوأمين أوكسيداز، قصور كبدي/كلوي/تنفسي شديد، صرع**,medical_term,sentence,indications,high
**Contraindications: Severe hepatic impairment**,**مضادات الاستطباب: قصور كبدي شديد**,medical_term,term,indications,high
"Phenobarbital 15, 30, 60, 100 mg (TABLETS)",فينوباربيتال ١٥، ٣٠، ٦٠، ١٠٠ ملغ (أقراص),medical_term,sentence,leaflet_core_glossary,high
"COMPOSITION: Each tablet contains: 15 mg, 30 mg, 60 mg or 100 mg of phenobarbital.",التركيب: يحوي كل قرص على: ١٥ أو ٣٠ أو ٦٠ أو ١٠٠ ملغ فينوباربيتال.,medical_term,sentence,leaflet_core_glossary,high
"EXCIPIENTS: Calcium stearate, Corn starch, Anhydrous lactose, Magnesium stearate, Colloidal silicon dioxide, Microcrystalline cellulose, Sodium starch glycolate, Sodium docusate, Lactose monohydrate.",السواغات: ستيترات الكالسيوم، نشاء الذرة، لاكتوز لامائي، ستيترات المغنيسيوم، ثاني أوكسيد السيليكون الغرويدي، ميكروكريستالين سللوز، غليكوات النشاء الصودية، صوديوم دوكوسات، لاكتوز مونوهيدرات.,medical_term,sentence,leaflet_core_glossary,high
"MECHANISM OF ACTION: Phenobarbital, a long-acting barbiturate, is a central nervous system depressant. In ordinary doses, the drug acts as a sedative and anticonvulsant.",آلية التأثير: فينوباربيتال مركب باربيتوري طويل المفعول مثبط للجملة العصبية المركزية. بالجرعات العادية، يعمل فينوباربيتال كمهدئ ومضاد للاختلاج.,medical_term,sentence,leaflet_core_glossary,high
"PHARMACOKINETICS: Its onset of action occurs within 30 minutes, and the duration of action ranges from 5 to 6 hours. It is detoxified in the liver.",الحركية الدوائية: يبدأ عمل فينوباربيتال خلال ٣٠ دقيقة، ويستمر لفترة تتراوح بين ٥ إلى ٦ ساعات. يتم إزالة سميته في الكبد.,medical_term,sentence,leaflet_core_glossary,high
INDICATIONS: Phenobarbital Hama Pharma is indicated for use as a sedative or anticonvulsant.,الاستطبابات: يستخدم فينوباربيتال حماة فارما كمهدئ أو مضاد للاختلاج.,medical_term,sentence,leaflet_core_glossary,high
CONTRAINDICATIONS: Phenobarbital Hama Pharma is contraindicated in patients who are hypersensitive to barbiturates.,مضادات الاستطباب: يجب عدم استخدام فينوباربيتال حماة فارما في المرضى المعروفين بفرط الحساسية للباربيتورات.,medical_term,sentence,leaflet_core_glossary,high
"SIDE EFFECTS: CNS Depression: Sedation, drowsiness, lethargy, and vertigo.",التأثيرات الجانبية: تثبيط الجهاز العصبي المركزي: تهدئة، نعاس، خمول، ودوار.,medical_term,sentence,leaflet_core_glossary,high
OVERDOSE: The signs and symptoms of barbiturate poisoning are referable especially to the central nervous system and the cardiovascular system.,حالات فرط الجرعة: تتجلى أعراض التسمم بالباربيتورات خاصة في الجملة العصبية المركزية وفي الجملة القلبية الوعائية.,medical_term,sentence,leaflet_core_glossary,high
"PRESENTATION: 3 Blisters, each contains 10 tablets of Phenobarbital Hama Pharma-15 mg.",التعبئة: ٣ أشرطة، كل شريط يحوي ١٠ أقراص من فينوباربيتال حماة فارما-١٥ ملغ.,medical_term,sentence,leaflet_core_glossary,high
"STORAGE: Store at room temperature, between 20°-25°C, away from moisture and light. Keep out of reach of children.",شروط الحفظ: يحفظ في درجة حرارة الغرفة، بين ٢٠°-٢٥°، بعيداً عن الرطوبة والضوء. يحفظ بعيداً عن متناول الأطفال.,medical_term,sentence,leaflet_core_glossary,high
"**Packing: 2 blisters, each contains 10 film-coated tablets**",**التعبئة: علبتان من البليستر، كل منهما يحتوي على ١٠ أقراص ملبسة بالفيلم**,medical_term,sentence,general_info,high
"**Storage Conditions: Store at room temperature, 20°-25° C**",**شروط الحفظ: يحفظ في درجة حرارة الغرفة، ٢٠-٢٥ درجة مئوية**,medical_term,sentence,general_info,high
"**A medicament is a product which affects your health, and its consumption contrary to instructions is dangerous for you**",**الدواء منتج يؤثر على صحتك، واستخدامه خلاف التعليمات يعرضك للخطر**,medical_term,sentence,general_info,high
**Active pathological bleeding**,**نزف مرضى نشط**,medical_term,term,updated_contraindications,high
**Severe hypersensitivity reactions to the drug or its components**,**ردود فعل تحسسية شديدة تجاه الدواء أو مكوناته**,medical_term,sentence,updated_contraindications,high
**Active peptic ulceration or past history of ulceration or dyspepsia**,**قرحة هضمية نشطة أو تاريخ سابق من القرحة أو عسر الهضم**,medical_term,sentence,updated_contraindications,high
**Patients who are suffering from gout**,**المرضى الذين يعانون من النقرس**,medical_term,sentence,updated_contraindications,high
**Third trimester of pregnancy**,**الثلث الثالث من الحمل**,medical_term,term,updated_contraindications,high
**Concurrent anticoagulant therapy**,**العلاج المتزامن بمضادات التخثر**,medical_term,term,updated_contraindications,high
**Nasal polyps associated with asthma**,**سلائل أنفية مرتبطة بالربو**,medical_term,term,updated_contraindications,high
"**Active gastric or intestinal ulcer, bleeding or perforation**",**قرحة معدية أو معوية نشطة، نزف أو انثقاب**,medical_term,sentence,updated_contraindications,high
**Last trimester of pregnancy**,**الثلث الأخير من الحمل**,medical_term,term,updated_contraindications,high
**Severe cardiac failure**,**فشل قلب شديد**,medical_term,term,updated_contraindications,high
**Hypersensitivity to the active substance or to any of the excipients**,**فرط الحساسية للمادة الفعالة أو لأي من السواغات**,medical_term,sentence,updated_contraindications,high
"**Hypersensitivity to clopidogrel, salicylates or NSAIDs**",**فرط الحساسية لكلوبيدوغريل، الساليسيلات أو مضادات الالتهاب غير الستيرويدية**,medical_term,sentence,updated_contraindications,high
