en,ar
"**The most commonly reported side-effects are: feeling of sickness, skin reddening, allergic reactions, shortness of breath, swollen facial features, and liver damage**",**كانت ردود الفعل السلبية الأكثر شيوعًا: شعور بالمرض، احمرار الجلد، ردود فعل تحسسية، ضيق في التنفس، تورم في الوجه، وتلف الكبد**
**The recommended dose is one tablet (25 mg) once daily taken orally at bedtime**,**الجرعة الموصى بها هي قرص واحد (٢٥ ملغ) مرة واحدة يوميًا تؤخذ عن طريق الفم قبل النوم**
**Thiazide Diuretics**,**مدرات البول الثيازيدية**
**Third trimester of pregnancy**,**الثلث الثالث من الحمل**
**Titanium Dioxide**,**ثاني أكسيد التيتانيوم**
**Tourette's Disorder**,**اضطراب توريت**
**Tramadol and its metabolites are almost completely excreted via the kidneys**,**يطرح ترامادول ومستقلباته تقريبًا بالكامل عن طريق الكلى**
**TRAMADOL HAMA PHARMA (Film-Coated Tablets) (Tramadol Hydrochloride 50 mg)**,**ترامادول هاما فارما (أقراص ملبسة بالفيلم) (ترامادول هيدروكلوريد ٥٠ ملغ)**
**TRAMADOL HAMA PHARMA**,**ترامادول حماة فارما**
**Tramadol Hydrochloride is a centrally acting synthetic analgesic compound**,**ترامادول هيدروكلوريد هو مسكن اصطناعي مركزي التأثير**
**Tramadol Hydrochloride**,**ترامادول هيدروكلوريد**
**Tramadol should not be combined with MAO inhibitors**,**يجب عدم الجمع بين ترامادول ومثبطات مونوأمين أوكسيداز**
**Treatment of Deep Vein Thrombosis (DVT)**,**علاج خثار الوريد العميق**
**Treatment of moderate to severe pain**,**علاج الألم المتوسط إلى الشديد**
**Treatment of Pulmonary Embolism (PE)**,**علاج الانسداد الرئوي**
**Treatment of schizophrenia**,**علاج الفصام**
**Treatment of Tourette's disorder**,**علاج اضطراب توريت**
"**Tremor, blurred vision, abdominal discomfort, gastrointestinal disorders**",**رعاش، عدم وضوح الرؤية، عدم راحة في البطن، اضطرابات معدية معوية**
**Tricyclic Antidepressants**,**مضادات الاكتئاب ثلاثية الحلقات**
**Triprolidine Hydrochloride**,**تريبوليدين هيدروكلوريد**
**TROMBO STOP**,**ترومبو ستوب**
**ULCER-STOP**,**ألكر-ستوب**
**Unstable angina (UA)**,**ذبحة غير مستقرة**
**Vitamin B1 (Thiamine)**,**فيتامين B1 (ثيامين)**
**Vitamin B12 (Cyanocobalamin)**,**فيتامين B12 (سيانوكوبالامين)**
**Vitamin B6 (Pyridoxine)**,**فيتامين B6 (بيريدوكسين)**
**Vitamin C / Ascorbic Acid**,**فيتامين C / حمض الأسكوربيك**
**VITOREX (Pizotifen 0.5 mg) (Capsules)**,**فيتوركس (بيزوتيفين ٠.٥ ملغ) (كبسولات)**
**Warnings and Precautions**,**تحذيرات واحتياطات**
"**Warnings: Withdrawal symptoms, Drug dependence, Opioid-dependent patients, Convulsive disorders, Respiratory depression**",**التحذيرات: أعراض الانسحاب، الاعتمادية الدوائية، المرضى المعتمدون على الأفيونيات، اضطرابات اختلاجية، كبت التنفس**
**Withdrawal Symptoms**,**أعراض الانسحاب**
**Withdrawal symptoms: At therapeutic doses tramadol has the potential to cause withdrawal symptoms**,**أعراض الانسحاب: في الجرعات العلاجية، قد يسبب ترامادول أعراض انسحاب**
abdominal pain,ألم بطني
absorption,الامتصاص
ace inhibitor,مثبط الإنزيم المحول للأنجيوتنسين
active ingredient,المادة الفعالة
adults,البالغين
adverse drug reaction,تفاعل دوائي ضار
adverse effect,الأثر الضار
adverse effects,الآثار الضارة
Adverse Reactions,التفاعلات الضارة
after meals,بعد الوجبات
Agomelatine,أجوميلاتين
agonist,ناهض
alanine aminotransferase,ألانين أمينوترانسفيراز
allergic reaction,رد فعل تحسسي
allergy,حساسية
allosteric modulator,منظم مثبت
ampoule,أمبولة
analgesic,مسكن
anemia,فقر دم
angina pectoris,ذبحة صدرية
angiotensin receptor blocker,حاصر مستقبلات الأنجيوتنسين
Anhydrous lactose,لاكتوز لامائي
anorexia,فقدان الشهية
antagonist,ضاد
anti-inflammatory,مضاد التهاب
antibiotic,مضاد حيوي
antibiotics,مضادات حيوية
anticoagulant,مضاد تخثر
Anticonvulsant,مضاد للاختلاج
antidepressant,مضاد اكتئاب
antidiabetic,خافض سكر
antidiarrheal,مضاد إسهال
antiemetic,مضاد إقياء
antifungal,مضاد فطريات
antihistamine,مضاد هيستامين
antihypertensive,خافض ضغط
antimalarial,مضاد ملاريا
antiparasitic,مضاد طفيليات
antiplatelet,مضاد صفيحات
antipsychotic,مضاد ذهان
antipyretic,خافض حرارة
antiretroviral,مضاد ارتجاعي
antispasmodic,مضاد تشنج
antitubercular,مضاد سل
antiviral,مضاد فيروسي
anxiolytic,مضاد قلق
appetite,شهية
arrhythmia,اضطراب نظم القلب
arthritis,التهاب المفاصل
as directed,حسب التوجيهات
as directed by physician,حسب توجيهات الطبيب
aspartate aminotransferase,أسبارتات أمينوترانسفيراز
asthma,ربو
at bedtime,قبل النوم
Barbiturate poisoning,التسمم بالباربيتورات
before meals,قبل الوجبات
benzodiazepine,بنزوديازيبين
beta blocker,حاصر بيتا
bilirubin,بيليروبين
binding affinity,ألفة الارتباط
Bioavailability,التوافر الحيوي
biopsy,خزعة
Blisters,أشرطة بليستر
blood count,تعداد الدم
blood urea nitrogen,نيتروجين اليوريا في الدم
bradycardia,بطء نبض القلب
breastfeeding,الإرضاع
bronchitis,التهاب الشعب الهوائية
bronchodilator,موسع قصبات
bronchospasm,تشنج قصبي
buccal,خددي
calcium channel blocker,حاصر قنوات الكالسيوم
Calcium stearate,ستيترات الكالسيوم
capsule,كبسولة
capsules,كبسولات
carcinogenic,مسرطن
carcinogenicity,سرطنة
cardiac arrest,توقف القلب
cardiovascular,قلبي وعائي
Cardiovascular system,الجملة القلبية الوعائية
carton,صندوق كرتون
central nervous system,الجهاز العصبي المركزي
Central nervous system depressant,مثبط للجملة العصبية المركزية
chest pain,ألم صدري
children,الأطفال
chills,قشعريرة
Clinical Pharmacology,الصيدلة السريرية
clinical studies,الدراسات السريرية
clinical trial,تجربة سريرية
CNS Depression,تثبيط الجهاز العصبي المركزي
Colloidal silicon dioxide,ثاني أوكسيد السيليكون الغرويدي
competitive antagonist,ضاد تنافسي
complete blood count,تعداد دم شامل
Composition,التركيب
Composition & Excipients,التركيب والسواغات
Composition & Excipients: Each film-coated tablet contains Agomelatine 25 mg.,التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على: أجوميلاتين ٢٥ ملغ.
composition and excipients,التركيب والسواغات
"COMPOSITION: Each tablet contains: 15 mg, 30 mg, 60 mg or 100 mg of phenobarbital.",التركيب: يحوي كل قرص على: ١٥ أو ٣٠ أو ٦٠ أو ١٠٠ ملغ فينوباربيتال.
computed tomography,تصوير مقطعي محوسب
concomitant use,الاستعمال المتزامن
constipation,إمساك
consult your doctor,استشر طبيبك
contraindicated,مضاد استطباب
contraindicated in pregnancy,مضاد استطباب خلال الحمل
Contraindications,مضادات
Contraindications: Hypersensitivity to the drug or its components.,مضادات الاستطبابات: فرط التحس للمادة الفعالة أو أي من مكونات الدواء.
CONTRAINDICATIONS: Phenobarbital Hama Pharma is contraindicated in patients who are hypersensitive to barbiturates.,مضادات الاستطباب: يجب عدم استخدام فينوباربيتال حماة فارما في المرضى المعروفين بفرط الحساسية للباربيتورات.
Corn starch,نشاء الذرة
corticosteroid,قشري
cough,سعال
cream,كريم
creatinine,كرياتينين
date of revision,تاريخ المراجعة
dermatological,جلدي
diabetes mellitus,داء السكري
diarrhea,إسهال
discontinue treatment,إيقاف العلاج
distribution,التوزع
diuretic,مدر بول
divided doses,جرعات مقسمة
dizziness,دوار
do not use after expiry date,لا تستعمل بعد تاريخ الانتهاء
Dosage,الجرعة
Dosage And Administration,الجرعة وطريقة الاستعمال
Dosage and Administration: The recommended dose is one tablet (25 mg) once daily taken orally at bedtime.,الجرعة وطريقة الاستعمال: الجرعة الموصى بها هي قرص في اليوم (٢٥ ملغ) تؤخذ قبل النوم.
dose-response curve,منحنى الجرعة-الاستجابة
drops,قطرات
drowsiness,نعاس
drug interaction,التداخل الدوائي
Drug Interactions,التداخلات الدوائية
dry mouth,جفاف الفم
Duration of action,مدة التأثير
dyspnea,ضيق تنفس
each tablet contains,يحتوي كل قرص على
ear drops,قطرات أذنية
ed50,الجرعة الفعالة 50
edema,وذمة
effective dose,الجرعة الفعالة
Effects On Ability To Drive,التأثير على القدرة على القيادة
effects on ability to drive and use machines,التأثير على القدرة على القيادة واستخدام الآلات
effervescent tablet,قرص فوار
efficacy,الفاعلية
elderly,المسنين
elderly patients,المرضى المسنين
electrocardiogram,تخطيط قلب كهربائي
electroencephalogram,تخطيط كهربائية الدماغ
embolism,صمات
endocrine,صماء
enteric coated,مغطى معوياً
epidural, فوق الجافية
Excipients,السواغات
"EXCIPIENTS: Calcium stearate, Corn starch, Anhydrous lactose, Magnesium stearate, Colloidal silicon dioxide, Microcrystalline cellulose, Sodium starch glycolate, Sodium docusate, Lactose monohydrate.",السواغات: ستيترات الكالسيوم، نشاء الذرة، لاكتوز لامائي، ستيترات المغنيسيوم، ثاني أوكسيد السيليكون الغرويدي، ميكروكريستالين سللوز، غليكوات النشاء الصودية، صوديوم دوكوسات، لاكتوز مونوهيدرات.
excretion,الإطراح
extended release,إطلاق ممتد
eye drops,قطرات عينية
fatigue,تعب
fertility,خصوبة
fever,حمى
film-coated tablet,قرص ملبس بالفيلم
Film-Coated Tablets,أقراص ملبسة بالفيلم
first pass metabolism,الاستقلاب العابر الأول
gastrointestinal,هضمي
gel,جل
genotoxicity,سمية جينية
glycosuria,بيلة سكرية
h2 receptor antagonist,ضاد مستقبلات H2
half-life,عمر النصف
headache,صداع
healthy volunteers,متطوعين أصحاء
heart failure,قصور القلب
hematological,دموي
hematuria,بيلة دموية
hemorrhage,نزيف
hepatic clearance,المصفاة الكبدية
Hepatic Impairment,الاعتلال الكبدي
hepatitis,التهاب الكبد
hepatobiliary,كبدي مراري
hepatomegaly,تضخم الكبد
histopathology,النسيج المرضي
hour,ساعة
hours,ساعات
hyperglycemia,ارتفاع سكر الدم
Hypersensitive,فرط الحساسية
hypersensitivity,فرط التحسس
hypertension,ارتفاع ضغط الدم
hyperthyroidism,فرط نشاط الدرقية
hypnotic,منوم
hypoglycemia,انخفاض سكر الدم
hypotension,انخفاض ضغط الدم
hypothyroidism,قصور نشاط الدرقية
immediate release,إطلاق فوري
immune system,الجهاز المناعي
immunosuppressant,مثبط مناعي
incompatibilities,عدم التوافق
indicated,مستطب
Indications,الاستطبابات
INDICATIONS: Phenobarbital Hama Pharma is indicated for use as a sedative or anticonvulsant.,الاستطبابات: يستخدم فينوباربيتال حماة فارما كمهدئ أو مضاد للاختلاج.
Indications: PRICKSAGE is used for the treatment of major depressive episodes in adults.,الاستطبابات: يستخدم بريكسيج لمعالجة حوادث الاكتئاب الرئيسي عند البالغين.
infants,الرضع
infusion solution,محلول وريدي
inhalation,استنشاق
inhaler,بخاخ استنشاقي
injection,حقن
injections,حقن
insomnia,أرق
Interactions,التداخلات
intradermal,داخل الجلد
intramuscular,عضلي
intraocular,داخل العين
intrathecal,داخل السحايا
intravenous,وريدي
inverse agonist,ناهض عكسي
itching,حكة
iu,وحدة دولية
jaundice,يرقان
keep out of reach of children,يحفظ بعيداً عن متناول الأطفال
Lactose monohydrate,لاكتوز مونوهيدرات
laxative,ملين
ld50,الجرعة القاتلة 50
lethal dose,الجرعة القاتلة
Lethargy,خمول
leukopenia,قلة كريات الدم البيضاء
ligand,ربيطة
list of excipients,قائمة السواغات
Liver,الكبد
liver function tests,اختبارات وظائف الكبد
Liver injury,إصابة الكبد
loading dose,جرعة تحميل
Long-acting barbiturate,مركب باربيتوري طويل المفعول
lozenge,مصاصة
Magnesium stearate,ستيترات المغنيسيوم
magnetic resonance imaging,تصوير بالرنين المغناطيسي
maintenance dose,الجرعة الصيانة
malaise,توعك
maximum dose,الجرعة القصوى
mcg,ميكروغرام
Mechanism of Action,آلية
Mechanism of action: Agomelatine is a melatonergic agonist (MT1 and MT2 receptors) and 5-HT2C antagonist.,آلية التأثير: أجوميلاتين هو شاد المستقبلات الميلاتونين MT1 و MT2 وضاد المستقبلات 5-HT2C.
"MECHANISM OF ACTION: Phenobarbital, a long-acting barbiturate, is a central nervous system depressant. In ordinary doses, the drug acts as a sedative and anticonvulsant.",آلية التأثير: فينوباربيتال مركب باربيتوري طويل المفعول مثبط للجملة العصبية المركزية. بالجرعات العادية، يعمل فينوباربيتال كمهدئ ومضاد للاختلاج.
metabolism,الاستقلاب
mg,ملغ
mg/day,ملغ/يوم
mg/kg,ملغ/كغ
mg/m2,ملغ/م2
Microcrystalline cellulose,ميكروكريستالين سللوز
migraine,صداع نصفي
minimal effective concentration,أقل تركيز فعال
minute,دقيقة
ml,مل
mmol,ملي مول
Moisture,الرطوبة
Monitoring of liver function: Cases of liver injury have been reported.,رصد وظائف الكبد: حالات إصابة الكبد... وقد تم الإبلاغ عنها.
monoamine oxidase inhibitor,مثبط أكسيداز أحادي الأمين
month,شهر
musculoskeletal,عضلي هيكلي
mutagenic,مطفر
myocardial infarction,احتشاء عضلة القلب
nasal,أنفي
nasal drops,قطرات أنفية
nature and contents of container,طبيعة ومحتويات العبوة
nausea,غثيان
neonates,حديثي الولادة
nephrotoxicity,سمية كلوية
nervous system,الجهاز العصبي
neutropenia,قلة العدلات
No dosage tapering is needed on treatment discontinuation.,لا حاجة لتخفيض الجرعة عند التوقف عن العلاج.
no observed adverse effect level,مستوى عدم التأثير الضار
non-competitive antagonist,ضاد غير تنافسي
not recommended for children,غير موصى به للأطفال
nsaid,مضاد التهاب غير سترويدي
nursing mothers,المرضعات
obstetric,توليدي
ointment,مرهم
once daily,مرة واحدة يومياً
Onset of action,بداية التأثير
ophthalmic,عيني
oral,فموي
oral administration,يعطى عن طريق الفم
osteoarthritis,التهاب المفاصل التنكسي
osteoporosis,هشاشة العظام
otolaryngology,أنف أذن حنجرة
Overdosage,فرط
Overdosage/Toxicity,فرط الجرعة/السمية
overdose,فرط الجرعة
OVERDOSE: The signs and symptoms of barbiturate poisoning are referable especially to the central nervous system and the cardiovascular system.,حالات فرط الجرعة: تتجلى أعراض التسمم بالباربيتورات خاصة في الجملة العصبية المركزية وفي الجملة القلبية الوعائية.
Packaging,التعبئة
paediatric patients,المرضى الأطفال
Paediatric population,الأطفال
palpitations,خفقان
pancreatic,بنكرياسي
partial agonist,ناهض جزئي
patch,لصقة
patients,المرضى
peak plasma concentration,ذروة التركيز البلازمي
Pediatric Population,الأطفال
peripheral nervous system,الجهاز العصبي المحيطي
pharmacodynamics,الديناميكا الدوائية
Pharmacokinetics,الحرائك
Pharmacokinetics: Agomelatine is rapidly and well absorbed after oral administration.,الحرائك الدوائية: يمتص أجوميلاتين بشكل جيد وسريع بعد تناوله عن طريق الفم.
"PHARMACOKINETICS: Its onset of action occurs within 30 minutes, and the duration of action ranges from 5 to 6 hours. It is detoxified in the liver.",الحركية الدوائية: يبدأ عمل فينوباربيتال خلال ٣٠ دقيقة، ويستمر لفترة تتراوح بين ٥ إلى ٦ ساعات. يتم إزالة سميته في الكبد.
Pharmacological Properties,الخصائص الصيدلانية
Phenobarbital,فينوباربيتال
"Phenobarbital 15, 30, 60, 100 mg (TABLETS)",فينوباربيتال ١٥، ٣٠، ٦٠، ١٠٠ ملغ (أقراص)
placebo,دواء وهمي
pneumonia,التهاب الرئة
Posology And Method Of Administration,الجرعة وطريقة الاستعمال
post-marketing surveillance,المراقبة بعد التسويق
potency,فعالية
powder,بودرة
Precautions,الاحتياطات
pregnancy,الحمل
Pregnancy and lactation,الحمل والإرضاع
pregnancy category,فئة الحمل
pregnant women,الحوامل
Presentation,التغليف
"PRESENTATION: 3 Blisters, each contains 10 tablets of Phenobarbital Hama Pharma-15 mg.",التعبئة: ٣ أشرطة، كل شريط يحوي ١٠ أقراص من فينوباربيتال حماة فارما-١٥ ملغ.
PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets),بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ)
protein binding,الارتباط بالبروتين
proteinuria,بيلة بروتينية
proton pump inhibitor,مثبط مضخة البروتون
rash,طفح جلدي
receptor,مستقبل
recommended dose,الجرعة الموصى بها
rectal,مستقيمي
renal clearance,المصفاة الكلوية
renal failure,قصور كلوي
renal function,وظائف الكلى
renal function tests,اختبارات وظائف الكلى
Renal Impairment,الاعتلال الكلوي
reproductive,تناسلي
respiratory,تنفسي
rheumatoid arthritis,التهاب المفاصل الروماتويدي
Room temperature,درجة حرارة الغرفة
sachet,قروص
safety,السلامة
Sedation,تهدئة
Sedative,مهدئ
seek medical attention,التمس الرعاية الطبية
selective serotonin reuptake inhibitor,مثبط استرداد السيروتونين الانتقائي
serotonin norepinephrine reuptake inhibitor,مثبط استرداد السيروتونين والنورإبينفرين
serum transaminases,ترانس أميناز المصل
shelf life,مدة الصلاحية
shortness of breath,ضيق التنفس
side effect,الأثر الجانبي
Side Effects,الآثار الجانبية
"SIDE EFFECTS: CNS Depression: Sedation, drowsiness, lethargy, and vertigo.",التأثيرات الجانبية: تثبيط الجهاز العصبي المركزي: تهدئة، نعاس، خمول، ودوار.
single dose,جرعة واحدة
Sodium docusate,صوديوم دوكوسات
Sodium starch glycolate,غليكوات النشاء الصودية
solution,محلول
Special Warnings,تحذيرات خاصة
special warnings and precautions for use,التحذيرات والاحتياطات الخاصة للاستعمال
spray,بخاخ
sputum,قشع
statin,ستاتين
steady state,حالة الثبات
Storage,التخزين
"STORAGE: Store at room temperature, between 20°-25°C, away from moisture and light. Keep out of reach of children.",شروط الحفظ: يحفظ في درجة حرارة الغرفة، بين ٢٠°-٢٥°، بعيداً عن الرطوبة والضوء. يحفظ بعيداً عن متناول الأطفال.
store at room temperature,يحفظ في درجة حرارة الغرفة
"Store away from humidity and direct light, in a place of a temperature between 15 -30° C.",شروط الحفظ: يحفظ بعيدا عن الرطوبة والضوء المباشر في مكان لا تتجاوز حرارته ٣٠ درجة.
store below 25 c,يحفظ تحت 25 درجة مئوية
store below 25°c,يحفظ تحت 25 درجة مئوية
subcutaneous,تحت الجلد
sublingual,تحت اللسان
Suicidal thoughts,أفكار انتحارية
suppository,تحاميل
suspension,معلق
sustained release,إطلاق ممتد
swelling,وذمة
syrup,شراب
tablet,قرص
tablets,أقراص
tachycardia,تسارع نبض القلب
teratogenic,مسخ
teratology,علم المسخات
The most common adverse reactions were nausea and dizziness.,كانت ردود الفعل السلبية الأكثر شيوعا الغثيان والدوار.
therapeutic dose,الجرعة العلاجية
therapeutic effect,التأثير العلاجي
therapeutic index,المؤشر العلاجي
therapeutic indications,الاستطبابات العلاجية
therapeutic range,المدى العلاجي
three times daily,ثلاث مرات يومياً
thrombocytopenia,قلة الصفيحات
thrombolytic,حالل تخثر
thrombosis,تخثر
time to peak,الزمن حتى الذروة
tolerability,التحمل
topical,موضعي
toxicity,سمية
transdermal,عبر الجلد
tricyclic antidepressant,مضاد اكتئاب ثلاثي الحلقات
twice daily,مرتين يومياً
ultrasound,تصوير بالأمواج فوق الصوتية
Undesirable Effects,الآثار غير المرغوبة
units,وحدات
urinary,بولي
use in elderly patients,الاستعمال عند المسنين
Use In Paediatric,الاستعمال عند الأطفال
use in paediatric population,الاستعمال عند الأطفال
Use In Pregnancy,الاستعمال خلال الحمل
Vertigo,دوار
vial,قارورة
volume of distribution,حجم التوزع
vomiting,إقياء
Warnings,التحذيرات
week,أسبوع
weight gain,زيادة الوزن
weight loss,فقدان الوزن
with food,مع الطعام
withdrawal symptoms,أعراض الانسحاب
without food,بدون طعام
year,سنة
