en,ar,source
Diclofenac Potassium is a potent inhibitor of prostaglandin biosynthesis,ديكلوفيناك بوتاسيوم هو مثبط قوي لتخليق البروستاغلاندين,sentence
Aripiprazole exhibits partial agonist activity at D2 and 5-HT1A receptors and antagonist activity at 5-HT2A receptors,أريبيبرازول يُظهر نشاطًا محفزًا جزئيًا للمستقبلات D2 و5-HT1A ونشاطًا مضادًا للمستقبلات 5-HT2A,sentence
"Absorption: Well absorbed after oral administration, with peak plasma concentrations within 3-5 hours",الامتصاص: يمتص بشكل جيد بعد التناول عن طريق الفم، مع وصول التركيز الأقصى في البلازما خلال ٣-٥ ساعات,sentence
Metabolism and Elimination: Approximately 25% in urine and 55% in feces,الاستقلاب والإطراح: حوالي ٢٥٪ في البول و٥٥٪ في البراز,sentence
For the treatment of major depressive episodes in adults,لعلاج نوبات الاكتئاب الرئيسية عند البالغين,sentence
Acute treatment of manic and mixed episodes associated with Bipolar I Disorder,العلاج الحاد للحالات الهوسية والمختلطة المرتبطة باضطراب ثنائي القطب من النوع الأول,sentence
"Severe heart failure, hepatic failure, and renal failure",فشل قلبي حاد، فشل كبدي، وفشل كلوي,sentence
"Nausea, vomiting, constipation, headache, dizziness, akathisia, anxiety, insomnia",غثيان، قيء، إمساك، صداع، دوخة، أكاثيزيا، قلق، أرق,sentence
"Feeling of sickness, skin reddening, allergic reactions, shortness of breath, swollen facial features, liver damage",شعور بالمرض، احمرار الجلد، ردود فعل تحسسية، ضيق في التنفس، تورم في الوجه، تلف الكبد,sentence
Increased mortality in elderly patients with dementia-related psychosis,زيادة معدل الوفيات لدى المرضى المسنين المصابين بذهان مرتبط بالخرف,sentence
Close medical surveillance is imperative in patients with symptoms indicative of gastrointestinal disorders,المراقبة الطبية الدقة ضرورية للمرضى الذين تظهر عليهم أعراض اضطرابات معدية معوية,sentence
Dosage increases should generally not be made before 2 weeks,يجب عدم زيادة الجرعة قبل مرور أسبوعين,sentence
Maintenance treatment: Periodically reassess to determine the continued need,العلاج الصيانى: إعادة تقييم دورية لتحديد الحاجة المستمرة,sentence
No dosage tapering is needed on treatment discontinuation,لا حاجة لتخفيض الجرعة عند التوقف عن العلاج,sentence
Liver damage is possible in adults who have taken 10g or more of paracetamol,تلف الكبد ممكن لدى البالغين الذين تناولوا ١٠ جرام أو أكثر من الباراسيتامول,sentence
"Symptoms include headache, nausea, vomiting, epigastric pain, gastrointestinal bleeding",الأعراض تشمل صداع، غثيان، قيء، ألم شرسوفي، نزف معدي معوي,sentence
"Management of overdosage: Activated charcoal, cardiac monitoring, supportive therapy",إدارة فرط الجرعة: الفحم المنشط، مراقبة القلب، العلاج الداعم,sentence
This is a medicament,هذا دواء,sentence
"Tramadol, Nivoltic, Nodement, Metronidazole Plus, Clozapine, Fem-Relieve, Vitorex, Ketotifen, Ulcer-Stop, Diltiazem, Anti-Tussive, Fedrolidine, Aripiprazole, Agilomox, Paracetamol",(مستخرج من 15 نشرة دوائية من هاما فارما),sentence
TRAMADOL HAMA PHARMA (Film-Coated Tablets) (Tramadol Hydrochloride 50 mg),ترامادول هاما فارما (أقراص ملبسة بالفيلم) (ترامادول هيدروكلوريد ٥٠ ملغ),sentence
"NODEMENT (Armodafinil 50 mg, 150 mg, 250 mg) (Tablets)",نوديمينت (أرمودافينيل ٥٠ ملغ، ١٥٠ ملغ، ٢٥٠ ملغ) (أقراص),sentence
KETOTIFEN HAMA PHARMA (Ketotifen 1 mg as Hydrogen Fumarate) (Tablets),كيتوتيفين هاما فارما (كيتوتيفين ١ ملغ على شكل فومارات هيدروجين) (أقراص),sentence
"DILTIAZEM HAMA PHARMA (Diltiazem hydrochloride 60 mg, 90 mg, 120 mg, 180 mg) (Tablets)",ديلتيازيم هاما فارما (ديلتيازيم هيدروكلوريد ٦٠ ملغ، ٩٠ ملغ، ١٢٠ ملغ، ١٨٠ ملغ) (أقراص),sentence
ANTI-TUSSIVE (Oxomemazine 1.65 mg + Paracetamol 33.3 mg + Sodium benzoate 33.3 mg + Guaifenesin 33.3 mg),مضاد السعال (أوكسوميمازين ١.٦٥ ملغ + باراسيتامول ٣٣.٣ ملغ + بنزوات الصوديوم ٣٣.٣ ملغ + غوايفينيسين ٣٣.٣ ملغ),sentence
FEDROLIDINE (Pseudoephedrine hydrochloride 60 mg + Triprolidine hydrochloride 2.5 mg) (Tablets),فيدروليدين (سودوإيفيدرين هيدروكلوريد ٦٠ ملغ + تريبوليدين هيدروكلوريد ٢.٥ ملغ) (أقراص),sentence
"Excipients: Magnesium stearate, Microcrystalline cellulose, HPMC, Sodium starch glycolate, Pregelatinized starch, Corn starch, Polysorbate 80, Carnauba wax, Iron oxide yellow, Polyethylene glycol, Titanium dioxide, Lactose",السواغات: ستيرات المغنيسيوم، السليلوز البلوري المجهري، HPMC، نشاء الصوديوم غليكولات، نشاء مسبق التجلط، نشاء الذرة، بوليسوربات ٨٠، شمع كارناوبا، أكسيد الحديد الأصفر، بولي إيثيلين غليكول، ثاني أكسيد التيتانيوم، لاكتوز,sentence
"Non-selective pure agonist at mu, delta, and kappa opioid receptors",ناظم غير انتقائي للمستقبلات الأفيونية ميو، دلتا، وكابا,sentence
Inhibition of neuronal reuptake of noradrenaline (norepinephrine) and enhancement of serotonin release,تثبيط إعادة امتصاص نورادرينالين (نورإبينيفرين) وتعزيز إطلاق السيروتونين,sentence
"Contraindications: Hypersensitivity, Acute intoxication with CNS depressants, MAO inhibitors, Severe hepatic/renal/respiratory impairment, Epilepsy, Breastfeeding (long-term)",مضادات الاستطباب: فرط الحساسية، التسمم الحاد بمثبطات الجهاز العصبي المركزي، مثبطات مونوأمين أوكسيداز، قصور كبدي/كلوي/تنفسي شديد، صرع، الإرضاع (طويل الأمد),sentence
"Warnings: Withdrawal symptoms, Drug dependence, Opioid-dependent patients, Convulsive disorders, Respiratory depression",التحذيرات: أعراض الانسحاب، الاعتمادية الدوائية، المرضى المعتمدون على الأفيونيات، اضطرابات اختلاجية، كبت التنفس,sentence
"Drug Interactions: MAO inhibitors, CNS depressants, Carbamazepine, Cimetidine, SSRIs, SNRIs, Tricyclic antidepressants, Coumarin derivatives (warfarin), Ketoconazole, Erythromycin",التداخلات الدوائية: مثبطات MAO، مثبطات الجهاز العصبي المركزي، كاربامازيبين، سيميتيدين، مثبطات استرداد السيروتونين الانتقائية (SSRIs)، مثبطات استرداد السيروتونين والنورادرينالين (SNRIs)، مضادات الاكتئاب ثلاثية الحلقات، مشتقات الكومارين (وارفارين)، كيتوكونازول، إريثرومايسين,sentence
"Serotonin syndrome (confusion, agitation, fever, sweating, ataxia, hyperreflexia, myoclonus, diarrhea)",متلازمة السيروتونين (ارتباك، هياج، حمى، تعرق، ترنح، فرط المنعكسات، رمع عضلي، إسهال),sentence
"Pregnancy & Lactation: Crosses placenta, ~0.1% secreted in breast milk",الحمل والإرضاع: يعبر المشيمة، ≈٠.١٪ يفرز في حليب الثدي,sentence
"Adverse Reactions: Palpitation, tachycardia, hypotension, dizziness, headache, somnolence, nausea, vomiting, constipation, dry mouth, diarrhea, sweating, pruritus, rash, urticaria, fatigue",الآثار الجانبية: خفقان، تسارع القلب، انخفاض ضغط الدم، دوخة، صداع، نعاس، غثيان، قيء، إمساك، جفاف الفم، إسهال، تعرق، حكة، طفح جلدي، شرى، إرهاق,sentence
"Overdosage: Miosis, vomiting, cardiovascular collapse, sedation, coma, seizures, respiratory depression",فرط الجرعة: تضييق حدقة العين، قيء، وهط قلب وعائي، تهدئة، غيبوبة، اختلاجات، كبت التنفس,sentence
"Hepatic Impairment: Divide dose or extend interval to 12 hours, contraindicated in severe impairment",قصور كبدي: قسم الجرعة أو اطلب الفترة إلى ١٢ ساعة، مضاد استطباب في القصور الشديد,sentence
Each capsule contains: Pizotifen (as hydrogen maleate) 0.5 mg,يحوي كل كبسولة: بيزوتيفين (على شكل ماليات هيدروجين) ٠.٥ ملغ,sentence
Composition: Paracetamol 500 mg + Diclofenac Potassium 50 mg,التركيب: باراسيتامول ٥٠٠ ملغ + ديكلوفيناك بوتاسيوم ٥٠ ملغ,sentence
Tramadol Hydrochloride is a centrally acting synthetic analgesic compound,ترامادول هيدروكلوريد هو مسكن اصطناعي مركزي التأثير,sentence
More than 90% of tramadol is absorbed after oral administration. The mean absolute bioavailability is approximately 70%,يمتص أكثر من ٩٠٪ من ترامادول بعد تناوله عن طريق الفم. المتوسط التوافر الحيوي المطلق حوالي ٧٠٪,sentence
Tramadol and its metabolites are almost completely excreted via the kidneys,يطرح ترامادول ومستقلباته تقريبًا بالكامل عن طريق الكلى,sentence
Contraindications: Hypersensitivity to the active substance or any of the other ingredients,مضادات الاستطباب: فرط الحساسية للمادة الفعالة أو أي من المكونات الأخرى,sentence
Contraindications: Acute intoxication with central nervous system depressants,مضادات الاستطباب: التسمم الحاد بمثبطات الجهاز العصبي المركزي,sentence
"Adverse reactions: Palpitation, tachycardia, hypotension, dizziness, headache, somnolence, nausea, vomiting, constipation, dry mouth",الآثار الجانبية: خفقان، تسارع القلب، انخفاض ضغط الدم، دوخة، صداع، نعاس، غثيان، قيء، إمساك، جفاف الفم,sentence
"Adverse reactions: Diarrhea, sweating, pruritus, rash, urticaria, fatigue",الآثار الجانبية: إسهال، تعرق، حكة، طفح جلدي، شرى، إرهاق,sentence
"Adverse reactions: Cardiovascular regulation (palpitation, tachycardia, postural hypotension or cardiovascular collapse)",الآثار الجانبية: تنظيم القلب والأوعية (خفقان، تسارع القلب، انخفاض ضغط الدم الوضعي أو وهط قلب وعائي),sentence
"Adverse reactions: Gastrointestinal irritation (a feeling of pressure in the stomach, bloating)",الآثار الجانبية: تهيج الجهاز الهضمي (شعور بالضغط في المعدة، انتفاخ),sentence
"The most commonly reported side-effects are: feeling of sickness, skin reddening, allergic reactions, shortness of breath, swollen facial features, and liver damage",كانت ردود الفعل السلبية الأكثر شيوعًا: شعور بالمرض، احمرار الجلد، ردود فعل تحسسية، ضيق في التنفس، تورم في الوجه، وتلف الكبد,sentence
Care should be taken and the risk/benefit of treatment determined prior to administration,يجب توخي الحذر وتحديد المخاطر/فوائد العلاج قبل إعطاء الدواء,sentence
Withdrawal symptoms: At therapeutic doses tramadol has the potential to cause withdrawal symptoms,أعراض الانسحاب: في الجرعات العلاجية، قد يسبب ترامادول أعراض انسحاب,sentence
Drug dependence and abuse: Reports of these are rare,اعتمادية الدواء وسوء الاستخدام: التقارير عنها نادرة,sentence
Patients prone to convulsive disorders. Convulsions have been reported at therapeutic doses,المرضى المعرضون لاضطرابات اختلاجية. تم الإبلاغ عن اختلاجات في الجرعات العلاجية,sentence
Tramadol should not be combined with MAO inhibitors,يجب عدم الجمع بين ترامادول ومثبطات مونوأمين أوكسيداز,sentence
Concomitant administration of Tramadol with other centrally depressant medicinal products including alcohol may potentiate the CNS effects,الإعطاء المتزامن لترامادول مع منتجات طبية مثبطة للجهاز العصبي المركزي بما في ذلك الكحول قد يزيد من آثار الجهاز العصبي المركزي,sentence
Caution should be exercised during concomitant treatment with tramadol and coumarin derivatives (e.g. warfarin),يجب توخي الحذر أثناء العلاج المتزامن بترامادول ومشتقات الكومارين (مثل وارفارين),sentence
"Other active substances known to inhibit CYP3A4, such as ketoconazole and erythromycin, might inhibit the metabolism of tramadol",المواد الفعالة الأخرى المعروفة بتثبيط CYP3A4، مثل كيتوكونازول وإريثرومايسين، قد تثبط استقلاب ترامادول,sentence
Adults and children over 12 years: 50-100 mg 3-4 times daily,البالغون والأطفال فوق ١٢ سنة: ٥٠-١٠٠ ملغ ٣-٤ مرات يوميًا,sentence
A total daily dose of 400 mg should not be exceeded,يجب عدم تجاوز الجرعة اليومية الإجمالية ٤٠٠ ملغ,sentence
"In severe hepatic impairment, the product is contraindicated",في القصور الكبدي الشديد، المنتج مضاد استطباب,sentence
"Packing: 2 blisters, each contains 10 film-coated tablets",التعبئة: علبتان من البليستر، كل منهما يحتوي على ١٠ أقراص ملبسة بالفيلم,sentence
"Storage Conditions: Store at room temperature, 20°-25° C",شروط الحفظ: يحفظ في درجة حرارة الغرفة، ٢٠-٢٥ درجة مئوية,sentence
"A medicament is a product which affects your health, and its consumption contrary to instructions is dangerous for you",الدواء منتج يؤثر على صحتك، واستخدامه خلاف التعليمات يعرضك للخطر,sentence
Do not by yourself interrupt the period of treatment prescribed for you,لا تقاطع فترة العلاج الموصوفة لك من تلقاء نفسك,sentence
Reduction in the risk of stroke and systemic embolism in patients with non-valvular atrial fibrillation,تقليل خطر السكتة الدماغية والانسداد الجهازي لدى مرضى الرجفان الأذيني غير الصمامي,sentence
Reduction of Risk of Major Cardiovascular Events in Chronic Coronary Artery Disease (CAD) or Peripheral Artery Disease (PAD),تقليل خطر الأحداث القلبية الوعائية الكبرى في مرض الشريان التاجي المزمن أو مرض الشريان المحيطي,sentence
"Prevention of ischemic events, myocardial infarction, stroke and cardiovascular death in patients with Acute Coronary Syndrome (ACS)",الوقاية من الأحداث الإفقارية، احتشاء عضلة القلب، السكتة الدماغية، والوفاة القلبية الوعائية لدى مرضى متلازمة الشريان التاجي الحادة,sentence
Active peptic ulceration or past history of ulceration or dyspepsia,قرحة هضمية نشطة أو تاريخ سابق من القرحة أو عسر الهضم,sentence
"Active gastric or intestinal ulcer, bleeding or perforation",قرحة معدية أو معوية نشطة، نزف أو انثقاب,sentence
Hypersensitivity to the active substance or to any of the excipients,فرط الحساسية للمادة الفعالة أو لأي من السواغات,sentence
"Non-steroidal compound with anti-rheumatic, anti-inflammatory, analgesic and antipyretic properties",مركب غير ستيرويدي ذو خصائص مضادة للروماتيزم، مضادة للالتهاب، مسكنة وخافضة للحرارة,sentence
Absorption: The absolute bioavailability of Rivaroxaban is dose-dependent,الامتصاص: التوافر الحيوي المطلق لريفاروكسبان يعتمد على الجرعة,sentence
"For 2.5 or 10 mg dose, it is estimated to be 80% to 100% and is not affected by food",لجرعة ٢.٥ أو ١٠ ملغ، يقدر ب٨٠٪ إلى ١٠٠٪ ولا يتأثر بالطعام,sentence
"For 20 mg dose, the absolute bioavailability is approximately 66% in the fasted state",لجرعة ٢٠ ملغ، التوافر الحيوي المطلق حوالي ٦٦٪ في حالة الصيام,sentence
Coadministration with food increases the bioavailability (mean AUC and Cmax increasing by 39% and 76%),الإعطاء المتزامن مع الطعام يزيد التوافر الحيوي (متوسط AUC وCmax يزدادان بنسبة ٣٩٪ و٧٦٪),sentence
Plasma protein binding of Rivaroxaban is approximately 92% to 95%,الارتباط ببروتينات البلازما لريفاروكسبان حوالي ٩٢٪ إلى ٩٥٪,sentence
66% of the dose was recovered in urine (36% as unchanged drug) and 7% in feces,تم استعادة ٦٦٪ من الجرعة في البول (٣٦٪ على شكل دواء غير متغير) و٧٪ في البراز,sentence
Terminal elimination half-life of Rivaroxaban is 5 to 9 hours,نصف عمر الإطراح النهائي لريفاروكسبان هو ٥ إلى ٩ ساعات,sentence
Clopidogrel is rapidly absorbed. Absorption is at least 50%,يمتص كلوبيدوغريل بسرعة. الامتصاص لا يقل عن ٥٠٪,sentence
Half-life of clopidogrel is approximately 6 hours. The half-life of the active metabolite is about 30 minutes,نصف عمر كلوبيدوغريل حوالي ٦ ساعات. نصف عمر المستقلب الفعال حوالي ٣٠ دقيقة,sentence
Absorption of diclofenac from Fast-Vol sets in immediately after administration,يبدأ امتصاص ديكلوفيناك من فاست فول فورًا بعد الإعطاء,sentence
Bioavailability of diclofenac is 82% of that achieved with gastro-resistant tablets,التوافر الحيوي لديكلوفيناك هو ٨٢٪ من ذلك الذي يتم تحقيقه مع الأقراص المقاومة للمعدة,sentence
"99.7% of diclofenac is bound to serum proteins, mainly to albumin",ترتبط ٩٩.٧٪ من ديكلوفيناك ببروتينات المصل، خاصة الألبومين,sentence
Avoid concomitant use of Rivaroxaban with combined P-gp and strong CYP3A4 inhibitors,تجنب الاستخدام المتزامن لريفاروكسبان مع مثبطات P-gp القوية وCYP3A4,sentence
Avoid concomitant use of Rivaroxaban with drugs that are combined P-gp and strong CYP3A4 inducers,تجنب الاستخدام المتزامن لريفاروكسبان مع الأدوية التي هي مثبطات P-gp القوية ومحفزات CYP3A4,sentence
"Concomitant administration of enoxaparin, warfarin, aspirin, clopidogrel and chronic NSAID use may increase the risk of bleeding",الإعطاء المتزامن لإينوكسابارين، وارفارين، أسبرين، كلوبيدوغريل واستخدام مزمن لمضادات الالتهاب غير الستيرويدية قد يزيد خطر النزف,sentence
Risk of Bleeding: Rivaroxaban increases the risk of bleeding and can cause serious or fatal bleeding,خطر النزف: يزيد ريفاروكسبان من خطر النزف وقد يسبب نزفًا خطيرًا أو قاتلًا,sentence
"Thienopyridines, including clopidogrel, increase the risk of bleeding",الثيونوبيريدينات، بما في ذلك كلوبيدوغريل، تزيد من خطر النزف,sentence
Caution in patients with established cardiovascular disease or uncontrolled hypertension,الحذر لدى المرضى الذين يعانون من مرض قلب وعائي مؤكد أو ارتفاع ضغط الدم غير المسيطر عليه,sentence
Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 75 mg,كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ٧٥ ملغ,sentence
A medicament is a product which affects your health,الدواء منتج يؤثر على صحتك,sentence
Tramadol Hydrochloride 37.5 mg + Paracetamol 325 mg,ترامادول هيدروكلوريد ٣٧.٥ ملغ + باراسيتامول ٣٢٥ ملغ,sentence
Tramadol Hydrochloride 75 mg + Paracetamol 650 mg,ترامادول هيدروكلوريد ٧٥ ملغ + باراسيتامول ٦٥٠ ملغ,sentence
Metformin HCl 500 mg + Empagliflozin 5 mg,ميتفورمين هيدروكلوريد ٥٠٠ ملغ + إيمباغليفلوزين ٥ ملغ,sentence
Metformin HCl 500 mg + Empagliflozin 12.5 mg,ميتفورمين هيدروكلوريد ٥٠٠ ملغ + إيمباغليفلوزين ١٢.٥ ملغ,sentence
Tramadol HCl 37.5 mg + Paracetamol 325 mg,ترامادول هيدروكلوريد ٣٧.٥ ملغ + باراسيتامول ٣٢٥ ملغ,sentence
Tramadol HCl 75 mg + Paracetamol 650 mg,ترامادول هيدروكلوريد ٧٥ ملغ + باراسيتامول ٦٥٠ ملغ,sentence
VITEOCTIN: Cyproheptadine Hydrochloride 4 mg + Vitamin A,Cyproheptadine Hydrochloride (سسيبروهيبتادين هيدروكلورإيد) 4 mg,sentence
Pregabalin 57 mg + Mecobalamin 57.0 mg + Alpha Lipoic Acid 100 mg,بريغابالين ٥٧ ملغ + ميكوبامين ٥٧ ملغ + ألفا ليبوئيك أسيد ١٠٠ ملغ,sentence
"Iron deficiency, Vitamin B12 deficiency, Folic acid deficiency",نقص الحديد، نقص فيتامين B12، نقص حمض الفوليك,sentence
Paracetamol 523 mg + Chlorpheniramine Maleate 2 mg + Dextromethorphan Hydrobromide 0.1 mg + Phenylephrine Hydrochloride 5 mg,باراسيتامول ٥٢٣ ملغ + كلورفينيرإمين ماليات ٢ ملغ + ديكسستروميتورفان هيدروبروميد ٠.١ ملغ + فينيل إيفرين هيدروكلورإيد ٥ ملغ,sentence
"Temporary relief of cold and flu symptoms: headache, fever, rhinitis, nasal congestion",تخفيف مؤقت لأعراض البرد والإنفلونزا: صداع، حمى، التهاب الأنف، احتقان الأنف,sentence
Paracetamol + Dextromethorphan Hydrobromide + Phenylephrine Hydrochloride 523/0.1/5 mg,باراسيتامول + ديكسستروميتورفان هيدروبروميد + فينيل إيفرين هيدروكلوريد ٥٢٣/٠.١/٥ ملغ,sentence
Chlorpheniramine Maleate 4 mg + Ibuprofen 200 mg + Phenylephrine Hydrochloride 1 mg,كلورفينيرإمين ماليات ٤ ملغ + إيبوبروفين ٢٠٠ ملغ + فينيل إيفرين هيدروكلوريد ١ ملغ,sentence
Severe liver damage may occur if more than 4000 mg in 24 hours,قد يحدث تلف الكبد الشديد إذا تم تناول أكثر من ٤٠٠٠ ملغ في ٢٤ ساعة,sentence
Hyoscine N-Butyl Bromide 0.1 mg + Paracetamol 400 mg,هايوسسين ن-بوتيل برومايد ٠.١ ملغ + باراسيتامول ٤٠٠ ملغ,sentence
30 to 210 mg daily in 2-3 divided doses,٣٠ إلى ٢١٠ ملغ يومياً موزعة على جرعتين أو ثلاث جرعات,sentence
6 mg/kg body weight in 3 divided doses,٦ ملغ/كغ من وزن الجسم موزعة على ثلاث جرعات,sentence
"Fluoroquinolone antibiotic, inhibits bacterial topoisomerase IV and DNA gyrase",مضاد حيوي من الكينولونات، مثبط لأنزيمات البكتيرية توبوإيزوميراز IV,sentence
"Reduces renal glucose reabsorption, increases urinary glucose excretion",يقلل امتصاص الجلوكوز من الترشح الكلوي، يزيد إفراز الجلوكوز في البول,sentence
Linagliptin 5 mg + Empagliflozin 10 mg,ليناغلبتين ٥ ملغ + إيمباغليفلوزينفلوزين ١٠ ملغ,hama_pharma
Fenofibrate 145 mg + Simvastatin 20 mg,فينوفبرات ١٤٥ ملغ + سيمڤاسستاتين ٢٠ ملغ,hama_pharma
Agomelatine 52 mg,أجوميلاتين ٥٢ ملغ,hama_pharma
Ofloxacin 200 mg + Ornidazole 500 mg,أوفلوكساسين ٢٠٠ ملغ + أورنيدازول ٥٠٠ ملغ,hama_pharma
Empagliflozin 10 mg or 25 mg,إيمباغليفلوزينفلوزين ١٠ ملغ أو ٢٥ ملغ,hama_pharma
