en,ar,category,source
film-coated tablets,أقراص ملبسة بالفيلم,dosage_form,hama-pharma (91 leaflets)
film coated tablets,أقراص ملبسة بالفيلم,dosage_form,hama-pharma (91 leaflets)
tablets,أقراص,dosage_form,hama-pharma (91 leaflets)
capsules,كبسولات,dosage_form,hama-pharma (91 leaflets)
syrup,شراب,dosage_form,hama-pharma (91 leaflets)
suspension,معلق,dosage_form,hama-pharma (91 leaflets)
solution for injection,محلول للحقن,dosage_form,hama-pharma (91 leaflets)
cream,كريم,dosage_form,hama-pharma (91 leaflets)
gel,جل,dosage_form,hama-pharma (91 leaflets)
prolonged-release tablets,أقراص ذات إطلاق ممتد,dosage_form,hama-pharma (91 leaflets)
immediate-release tablets,أقراص ذات إطلاق فوري,dosage_form,hama-pharma (91 leaflets)
controlled-release tablets,أقراص ذات إطلاق مضبوط,dosage_form,hama-pharma (91 leaflets)
hard capsules,كبسولات صلبة,dosage_form,hama-pharma (91 leaflets)
soft capsules,كبسولات رخوة,dosage_form,hama-pharma (91 leaflets)
powder for oral suspension,بودرة للمعلق الفموي,dosage_form,hama-pharma (91 leaflets)
oral solution,محلول فموي,dosage_form,hama-pharma (91 leaflets)
eye drops,قطرات عينية,dosage_form,hama-pharma (91 leaflets)
nasal spray,رذاذ أنفي,dosage_form,hama-pharma (91 leaflets)
suppositories,لبوس,dosage_form,hama-pharma (91 leaflets)
patch,رقعة جلدية,dosage_form,hama-pharma (91 leaflets)
active substance,المادة الفعالة,medical_term,hama-pharma (91 leaflets)
active ingredient,المادة الفعالة,medical_term,hama-pharma (91 leaflets)
bioavailability,التوافر الحيوي,medical_term,hama-pharma (91 leaflets)
half-life,عمر النصف,medical_term,hama-pharma (91 leaflets)
protein binding,الارتباط البروتيني,medical_term,hama-pharma (91 leaflets)
metabolism,الاستقلاب,medical_term,hama-pharma (91 leaflets)
excretion,الإطراح,medical_term,hama-pharma (91 leaflets)
absorption,الامتصاص,medical_term,hama-pharma (91 leaflets)
distribution,التوزع,medical_term,hama-pharma (91 leaflets)
hypersensitivity,فرط التحسس,medical_term,hama-pharma (91 leaflets)
allergic reaction,تفاعل تحسسي,medical_term,hama-pharma (91 leaflets)
anaphylaxis,صدمة تأقية,medical_term,hama-pharma (91 leaflets)
nausea,غثيان,medical_term,hama-pharma (91 leaflets)
dizziness,دوار,medical_term,hama-pharma (91 leaflets)
headache,صداع,medical_term,hama-pharma (91 leaflets)
fatigue,إرهاق,medical_term,hama-pharma (91 leaflets)
insomnia,أرق,medical_term,hama-pharma (91 leaflets)
drowsiness,نعاس,medical_term,hama-pharma (91 leaflets)
diarrhea,إسهال,medical_term,hama-pharma (91 leaflets)
constipation,إمساك,medical_term,hama-pharma (91 leaflets)
vomiting,إقياء,medical_term,hama-pharma (91 leaflets)
abdominal pain,ألم بطني,medical_term,hama-pharma (91 leaflets)
rash,طفح جلدي,medical_term,hama-pharma (91 leaflets)
pruritus,حكة,medical_term,hama-pharma (91 leaflets)
urticaria,شرى,medical_term,hama-pharma (91 leaflets)
hepatic impairment,قصور كبدي,medical_term,hama-pharma (91 leaflets)
renal impairment,اعتلال كلوي,medical_term,hama-pharma (91 leaflets)
liver failure,فشل كبدي,medical_term,hama-pharma (91 leaflets)
kidney failure,فشل كلوي,medical_term,hama-pharma (91 leaflets)
pregnancy,الحمل,medical_term,hama-pharma (91 leaflets)
lactation,الإرضاع,medical_term,hama-pharma (91 leaflets)
breast feeding,الرضاعة الطبيعية,medical_term,hama-pharma (91 leaflets)
teratogenic,مسخ,medical_term,hama-pharma (91 leaflets)
mutagenic, مطفر,medical_term,hama-pharma (91 leaflets)
carcinogenic,مسرطن,medical_term,hama-pharma (91 leaflets)
paediatric population,الأطفال,medical_term,hama-pharma (91 leaflets)
geriatric patients,كبار السن,medical_term,hama-pharma (91 leaflets)
elderly,كبار السن,medical_term,hama-pharma (91 leaflets)
neonates,حديثي الولادة,medical_term,hama-pharma (91 leaflets)
oral administration,تناول عن طريق الفم,medical_term,hama-pharma (91 leaflets)
intravenous,وريدي,medical_term,hama-pharma (91 leaflets)
intramuscular,عضلي,medical_term,hama-pharma (91 leaflets)
subcutaneous,تحت الجلد,medical_term,hama-pharma (91 leaflets)
topical,موضعي,medical_term,hama-pharma (91 leaflets)
once daily,مرة واحدة يوميا,medical_term,hama-pharma (91 leaflets)
twice daily,مرتين يوميا,medical_term,hama-pharma (91 leaflets)
three times daily,ثلاث مرات يوميا,medical_term,hama-pharma (91 leaflets)
before meals,قبل الطعام,medical_term,hama-pharma (91 leaflets)
after meals,بعد الطعام,medical_term,hama-pharma (91 leaflets)
with food,مع الطعام,medical_term,hama-pharma (91 leaflets)
on an empty stomach,على معدة فارغة,medical_term,hama-pharma (91 leaflets)
at bedtime,قبل النوم,medical_term,hama-pharma (91 leaflets)
contraindicated,مضاد استطباب,medical_term,hama-pharma (91 leaflets)
indicated,مستطبب,medical_term,hama-pharma (91 leaflets)
recommended dose,الجرعة الموصى بها,medical_term,hama-pharma (91 leaflets)
maximum dose,الجرعة القصوى,medical_term,hama-pharma (91 leaflets)
maintenance dose,جرعة صيانة,medical_term,hama-pharma (91 leaflets)
loading dose,جرعة تحميل,medical_term,hama-pharma (91 leaflets)
overdose,فرط الجرعة,medical_term,hama-pharma (91 leaflets)
toxicity,سمية,medical_term,hama-pharma (91 leaflets)
withdrawal,سحب الدواء,medical_term,hama-pharma (91 leaflets)
dependence,اعتماد/إدمان,medical_term,hama-pharma (91 leaflets)
tolerance,تحمل,medical_term,hama-pharma (91 leaflets)
resistance,مقاومة,medical_term,hama-pharma (91 leaflets)
placebo,دواء وهمي,medical_term,hama-pharma (91 leaflets)
clinical trial,دراسة سريرية,medical_term,hama-pharma (91 leaflets)
adverse drug reaction,رد فعل دوائي سلبي,medical_term,hama-pharma (91 leaflets)
serious adverse reaction,رد فعل سلبي خطير,medical_term,hama-pharma (91 leaflets)
drug interaction,تداخل دوائي,medical_term,hama-pharma (91 leaflets)
concomitant use,الاستعمال المتزامن,medical_term,hama-pharma (91 leaflets)
monitoring,مراقبة,medical_term,hama-pharma (91 leaflets)
blood test,فحص دم,medical_term,hama-pharma (91 leaflets)
liver function test,فحص وظائف الكبد,medical_term,hama-pharma (91 leaflets)
kidney function test,فحص وظائف الكلى,medical_term,hama-pharma (91 leaflets)
blood pressure,ضغط الدم,medical_term,hama-pharma (91 leaflets)
heart rate,معدل ضربات القلب,medical_term,hama-pharma (91 leaflets)
blood glucose,سكر الدم,medical_term,hama-pharma (91 leaflets)
cholesterol,الكوليسترول,medical_term,hama-pharma (91 leaflets)
infection,عدوى,medical_term,hama-pharma (91 leaflets)
inflammation,التهاب,medical_term,hama-pharma (91 leaflets)
bacterial,بكتيري,medical_term,hama-pharma (91 leaflets)
viral,فيروسي,medical_term,hama-pharma (91 leaflets)
fungal,فطري,medical_term,hama-pharma (91 leaflets)
antibiotic,مضاد حيوي,medical_term,hama-pharma (91 leaflets)
antifungal,مضاد فطري,medical_term,hama-pharma (91 leaflets)
antiviral,مضاد فيروسي,medical_term,hama-pharma (91 leaflets)
anti-inflammatory,مضاد التهاب,medical_term,hama-pharma (91 leaflets)
analgesic,مسكن,medical_term,hama-pharma (91 leaflets)
antipyretic,خافض حرارة,medical_term,hama-pharma (91 leaflets)
antidepressant,مضاد اكتئاب,medical_term,hama-pharma (91 leaflets)
antipsychotic,مضاد ذهان,medical_term,hama-pharma (91 leaflets)
anxiolytic,مضاد قلق,medical_term,hama-pharma (91 leaflets)
sedative,مهدئ,medical_term,hama-pharma (91 leaflets)
hypnotic,منوم,medical_term,hama-pharma (91 leaflets)
antihypertensive,خافض ضغط,medical_term,hama-pharma (91 leaflets)
diuretic,مدر بول,medical_term,hama-pharma (91 leaflets)
anticoagulant,مضاد تخثر,medical_term,hama-pharma (91 leaflets)
antiplatelet,مضاد صفيحات,medical_term,hama-pharma (91 leaflets)
bronchodilator,موسع قصبات,medical_term,hama-pharma (91 leaflets)
expectorant,مقشع,medical_term,hama-pharma (91 leaflets)
antispasmodic,مضاد تشنج,medical_term,hama-pharma (91 leaflets)
laxative,ملين,medical_term,hama-pharma (91 leaflets)
antidiabetic,خافض سكر,medical_term,hama-pharma (91 leaflets)
hypoglycemic,خافض سكر الدم,medical_term,hama-pharma (91 leaflets)
statin,ستاتين,medical_term,hama-pharma (91 leaflets)
ACE inhibitor,مثبط ACE,medical_term,hama-pharma (91 leaflets)
calcium channel blocker,حاصر قنوات الكالسيوم,medical_term,hama-pharma (91 leaflets)
beta blocker,حاصر بيتا,medical_term,hama-pharma (91 leaflets)
proton pump inhibitor,مثبط مضخة البروتون,medical_term,hama-pharma (91 leaflets)
angiotensin receptor blocker,حاصر مستقبلات الأنجيوتنسين,medical_term,hama-pharma (91 leaflets)
serotonin receptor agonist,شاد مستقبلات السيروتونين,medical_term,hama-pharma (91 leaflets)
serotonin receptor antagonist,ضاد مستقبلات السيروتونين,medical_term,hama-pharma (91 leaflets)
dopamine receptor agonist,شاد مستقبلات الدوبامين,medical_term,hama-pharma (91 leaflets)
dopamine receptor antagonist,ضاد مستقبلات الدوبامين,medical_term,hama-pharma (91 leaflets)
histamine receptor antagonist,ضاد مستقبلات الهيستامين,medical_term,hama-pharma (91 leaflets)
melatonin receptor agonist,شاد مستقبلات الميلاتونين,medical_term,hama-pharma (91 leaflets)
sodium chloride,كلوريد الصوديوم,medical_term,hama-pharma (91 leaflets)
potassium chloride,كلوريد البوتاسيوم,medical_term,hama-pharma (91 leaflets)
magnesium stearate,ستيرات المغنزيوم,medical_term,hama-pharma (91 leaflets)
lactose monohydrate,لاكتوز أحادي الماء,medical_term,hama-pharma (91 leaflets)
titanium dioxide,ثاني أكسيد التيتانيوم,medical_term,hama-pharma (91 leaflets)
povidone,بوفيدون,medical_term,hama-pharma (91 leaflets)
starch,نشا,medical_term,hama-pharma (91 leaflets)
cellulose,سيلولوز,medical_term,hama-pharma (91 leaflets)
glycerin,غليسرين,medical_term,hama-pharma (91 leaflets)
iron oxide,أكسيد الحديد,medical_term,hama-pharma (91 leaflets)
silicon dioxide,ثاني أكسيد السيليكون,medical_term,hama-pharma (91 leaflets)
polyethylene glycol,بولي إيثيلين غليكول,medical_term,hama-pharma (91 leaflets)
hydroxypropyl methylcellulose,هيدروكسي بروبيل ميثيل سيلولوز,medical_term,hama-pharma (91 leaflets)
croscarmellose sodium,كروسكارميلوز صوديوم,medical_term,hama-pharma (91 leaflets)
microcrystalline cellulose,سيلولوز بلوري دقيق,medical_term,hama-pharma (91 leaflets)
composition,التركيب,section_header,hama-pharma (91 leaflets)
composition & excipients,التركيب والسواغات,section_header,hama-pharma (91 leaflets)
excipients,السواغات,section_header,hama-pharma (91 leaflets)
mechanism of action,آلية التأثير,section_header,hama-pharma (91 leaflets)
pharmacokinetics,الحرائك الدوائية,section_header,hama-pharma (91 leaflets)
pharmacokinetic properties,الخصائص الحركية الدوائية,section_header,hama-pharma (91 leaflets)
indications,الاستطبابات,section_header,hama-pharma (91 leaflets)
clinical particulars,البيانات السريرية,section_header,hama-pharma (91 leaflets)
contraindications,مضادات الاستطبابات,section_header,hama-pharma (91 leaflets)
warnings and precautions,التحذيرات والاحتياطات,section_header,hama-pharma (91 leaflets)
warnings,التحذيرات,section_header,hama-pharma (91 leaflets)
precautions,الاحتياطات,section_header,hama-pharma (91 leaflets)
drug interactions,التداخلات الدوائية,section_header,hama-pharma (91 leaflets)
interactions,التداخلات الدوائية,section_header,hama-pharma (91 leaflets)
adverse reactions,ردود الفعل السلبية,section_header,hama-pharma (91 leaflets)
side effects,الآثار الجانبية,section_header,hama-pharma (91 leaflets)
undesirable effects,الآثار غير المرغوبة,section_header,hama-pharma (91 leaflets)
dosage and administration,الجرعة وطريقة الاستعمال,section_header,hama-pharma (91 leaflets)
posology,طريقة الاستعمال والجرعة,section_header,hama-pharma (91 leaflets)
overdosage,فرط الجرعة,section_header,hama-pharma (91 leaflets)
overdose,فرط الجرعة,section_header,hama-pharma (91 leaflets)
storage,شروط الحفظ,section_header,hama-pharma (91 leaflets)
shelf life,مدة الصلاحية,section_header,hama-pharma (91 leaflets)
pregnancy and lactation,الحمل والإرضاع,section_header,hama-pharma (91 leaflets)
effects on ability to drive,التأثير على القدرة على القيادة,section_header,hama-pharma (91 leaflets)
description,الوصف,section_header,hama-pharma (91 leaflets)
therapeutic indications,الاستطبابات العلاجية,section_header,hama-pharma (91 leaflets)
special warnings,تحذيرات خاصة,section_header,hama-pharma (91 leaflets)
special populations,المجموعات الخاصة,section_header,hama-pharma (91 leaflets)
paediatric use,الاستعمال عند الأطفال,section_header,hama-pharma (91 leaflets)
geriatric use,الاستعمال عند كبار السن,section_header,hama-pharma (91 leaflets)
hepatic impairment,قصور كبدي,section_header,hama-pharma (91 leaflets)
renal impairment,اعتلال كلوي,section_header,hama-pharma (91 leaflets)
presentation,الشكل الصيدلي والتغليف,section_header,hama-pharma (91 leaflets)
packaging,التغليف,section_header,hama-pharma (91 leaflets)
marketing authorisation,ترخيص التسويق,section_header,hama-pharma (91 leaflets)
manufacturer,الشركة المصنعة,section_header,hama-pharma (91 leaflets)
nature and contents,طبيعة ومحتويات,section_header,hama-pharma (91 leaflets)
date of revision,تاريخ المراجعة,section_header,hama-pharma (91 leaflets)
name of the medicinal product,اسم الدواء,section_header,hama-pharma (91 leaflets)
qualitative and quantitative composition,التركيب النوعي والكمي,section_header,hama-pharma (91 leaflets)
pharmaceutical form,الشكل الصيدلي,section_header,hama-pharma (91 leaflets)
clinical efficacy and safety,الفعالية والسلامة السريرية,section_header,hama-pharma (91 leaflets)
pharmacodynamic properties,الخصائص الديناميكية الدوائية,section_header,hama-pharma (91 leaflets)
preclinical safety data,بيانات السلامة قبل السريرية,section_header,hama-pharma (91 leaflets)
list of excipients,قائمة السواغات,section_header,hama-pharma (91 leaflets)
incompatibilities,عدم التوافق,section_header,hama-pharma (91 leaflets)
special precautions for disposal,احتياطات خاصة للتخلص,section_header,hama-pharma (91 leaflets)
